"key","Pollutant","2016 Total Emissions (lbs)","2016 Total Uncontrolled Emissions (lbs)","2016 Total Other Emissions (lbs)","Is Heavy Metal"
"26-2050","Xylenes (mixed) including:","10.286","10.286","0.000","FALSE"
"26-2050","Acetaldehyde","6.544","6.544","0.000","FALSE"
"26-2050","Benzene","4.131","4.131","0.000","FALSE"
"26-2050","Ethyl benzene","3.578","3.578","0.000","FALSE"
"26-2050","Propylene","2.961","2.961","0.000","FALSE"
"26-2050","Barium","2.237","2.237","0.000","FALSE"
"26-2050","Acrolein","1.588","1.588","0.000","FALSE"
"26-2050","1,3-Butadiene","1.379","1.379","0.000","FALSE"
"26-2050","Hydrochloric acid","1.182","1.182","0.000","FALSE"
"26-2050","Vanadium (fume or dust)","1.170","1.170","0.000","TRUE"
"26-2050","Nickel","1.093","1.093","0.000","TRUE"
